trip_distance,duration_seconds,MPH
56.04,4273,47.213667984062354
36.74,2805,47.152943330652576
119.66,9140,47.130854834091224
11.78,900,47.119998931884766
11.68,893,47.0862274340793
5.42,415,47.01686813170651
9.15,701,46.990012306289564
15.2,1166,46.92967351059562
22.08,1694,46.9232583974863
10.8,829,46.89988020101991
18.4,1413,46.87897991982235
11.81,907,46.87541511644996
10.39,798,46.87218199995227
18.06,1388,46.841497173913965
11.97,920,46.83913147967795
9.51,731,46.834474451401654
6.96,535,46.83364511650299
27.41,2107,46.83246295713507
27.51,2116,46.80340303590483
5.68,437,46.791760599585906
37.08,2854,46.7722517840914
24.36,1875,46.771201171875
7,539,46.75324675324675
33.7,2598,46.697460641486536
20.31,1566,46.68965394469513
10.64,821,46.65529992199989
10.75,830,46.626506024096386
19.75,1525,46.622950819672134
16.22,1253,46.601753813308996
10.97,848,46.570755850594
16.7,1291,46.56855363794116
19.09,1476,46.560975981921686
15.04,1163,46.555459899115135
12.22,945,46.55238196963356
18.05,1397,46.51395651640513
11.77,911,46.511527604774116
20.36,1576,46.507615607402045
10.41,806,46.49627723409875
24.77,1918,46.49218021269511
11.57,896,46.48660591670445
25.36,1964,46.48472616968718
20.69,1603,46.465378616723285
22.78,1765,46.46345749117498
24.66,1911,46.45525873923788
38.53,2987,46.43722651672874
10.55,818,46.4303186878307
18.97,1471,46.42555916252629
21.46,1665,46.39999802048142
7.01,544,46.38970739701215
9.29,721,46.38557539898876
27.19,2111,46.36854662368898
16.1,1250,46.36800109863282
11.82,918,46.35293997970282
50.65,3934,46.34977262154653
26.02,2021,46.3493328292673
21.04,1635,46.32660752042718
19.34,1503,46.323353658893154
26.91,2092,46.30783912556577
24.26,1886,46.307529599138185
28.53,2218,46.306583621246084
19.05,1481,46.306547774083704
32.69,2542,46.29582811020942
22.8,1773,46.294414694539185
26.4,2053,46.2932287514413
15.89,1236,46.28155439802744
16.48,1282,46.2776898221925
10.5,817,46.266829865361075
11.32,881,46.25652542720452
6.72,523,46.256212704952084
10.16,791,46.240201581142344
18.3,1425,46.231577019942435
8.09,630,46.228572300502236
11.8,919,46.22415743922254
10.09,786,46.2137411568911
8.8,686,46.18075901843368
16.68,1301,46.155266025082874
6.96,543,46.14364666174788
24.45,1908,46.13207691120651
59.72,4661,46.12572503637229
5.2,406,46.10837269299136
27.34,2135,46.100234449328525
9.45,738,46.09756004519579
11.5,899,46.05116796440489
10.36,810,46.04444291856554
19.07,1493,45.98258466267059
16.36,1281,45.97658251152664
26.11,2046,45.9413500475394
29.9,2343,45.9411005662437
19.75,1548,45.93023255813954
10.5,823,45.92952612393682
15.04,1179,45.9236640056581
18.85,1478,45.91339741088702
13.62,1068,45.910111973794656
8.5,667,45.877061469265364
8.32,653,45.86829847070014
16.55,1299,45.86604869393223
16.56,1300,45.85846005953275
11.73,921,45.85016107714525
3.31,260,45.830768438485954
23.69,1862,45.802364083032984
25.07,1971,45.78995378050086
4.92,387,45.767442570176236
7.13,561,45.75401142956739
30.12,2370,45.751900008962124
15.31,1205,45.73942034076359
37.84,2979,45.7280968611334
24.72,1947,45.70724064102525
16.88,1330,45.69022329230057
19.24,1516,45.688653810043135
17.26,1360,45.68823589998133
17.15,1352,45.66567945762499
10.26,809,45.656366902317195
17.03,1343,45.65003907068044
8.85,698,45.64470110786679
24,1894,45.61774023231257
12.06,952,45.60504360359256
